k_subset,language,n_unsafe_prompts,n_models_available,best_single_model,best_single_model_short,best_single_model_recall,oracle_or_recall_any_model,missed_by_all_rate,complementarity_gap
2,Spanish,108,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Swahili,104,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Swedish,108,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Turkish,105,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Welsh,107,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Wolof,104,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Xhosa,60,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Bengali,152,5,qwen3guard_gen,Qwen3Guard,0.7960526315789473,0.9802631578947368,0.019736842105263157,0.1842105263157895
3,Russian,152,5,qwen3guard_gen,Qwen3Guard,0.8092105263157895,0.9802631578947368,0.019736842105263157,0.17105263157894735
3,Assamese,149,5,wildguard,WildGuard,0.7919463087248322,0.959731543624161,0.040268456375838924,0.16778523489932884
3,Persian,155,5,qwen3guard_gen,Qwen3Guard,0.8064516129032258,0.9741935483870968,0.025806451612903226,0.16774193548387106
3,Arabic,152,5,wildguard,WildGuard,0.8013245033112583,0.9671052631578947,0.03289473684210526,0.16578075984663643
3,Hebrew,154,5,qwen3guard_gen,Qwen3Guard,0.8116883116883117,0.948051948051948,0.05194805194805195,0.13636363636363635
3,Thai,147,5,qwen3guard_gen,Qwen3Guard,0.8095238095238095,0.9319727891156463,0.06802721088435375,0.12244897959183676
3,Malayalam,150,5,wildguard,WildGuard,0.86,0.98,0.02,0.12
3,Chinese (Simplified),145,5,wildguard,WildGuard,0.8819444444444444,0.993103448275862,0.006896551724137931,0.11115900383141764
3,Swedish,158,5,wildguard,WildGuard,0.8670886075949367,0.9556962025316456,0.04430379746835443,0.08860759493670889
3,Mongolian,139,5,qwen3guard_gen,Qwen3Guard,0.5971223021582733,0.6618705035971223,0.3381294964028777,0.06474820143884896
3,Bulgarian,156,5,wildguard,WildGuard,0.9612903225806452,0.9935897435897436,0.00641025641025641,0.03229942100909844
3,Armenian,154,5,wildguard,WildGuard,0.9545454545454546,0.9805194805194806,0.01948051948051948,0.025974025974025983
3,English,64,5,wildguard,WildGuard,0.984375,1.0,0.0,0.015625
